name	dist_sep	flux	flux_err	eflux	eflux_err	index	index_err	gal_pref	gal_pref_err	iso_norm	iso_norm_err	flux_ul	eflux_ul	TS
ESO122-IG16	0.346	5.2e-12	5.64e-12	3.53e-07	3.55e-07	1.08	0.62	1.02	0.02	0.94	0.08	1.43e-11	9.69e-07	6.2
RCS2143_11109	0.294	5e-11	3.12e-11	1.95e-07	1.18e-07	2.26	0.48	1.02	0.03	0.98	0.09	9.48e-11	3.7e-07	6.17
GZ587729407813419171	0.324	3.05e-11	1.88e-11	1.42e-07	9.95e-08	2.15	0.47	1.0	0.04	0.99	0.07	5.88e-11	2.74e-07	6.17
GZ588015507664929026	0.14	6.44e-11	2.87e-11	8.57e-08	3.82e-08	5.0	0.0	1.11	0.05	0.84	0.08	1.14e-10	1.52e-07	6.13
RCS2338_14452	0.0	1.88e-11	1.61e-11	4.03e-07	3.3e-07	1.52	0.43	1.06	0.09	0.83	0.11	4.04e-11	8.63e-07	6.13
GZ587724648184348875	0.063	3.24e-11	2.4e-11	1.79e-07	1.27e-07	2.06	0.44	0.92	0.04	1.08	0.09	6.72e-11	3.71e-07	6.12
GZ587739377231528261	0.0	1.18e-11	9.93e-11	3.44e-07	1.1e-06	1.41	1.91	0.97	0.02	1.28	0.04	2.81e-11	8.19e-07	6.1
GZ588017949883170953	0.407	4.72e-11	2.29e-11	1.02e-07	4.9e-08	2.86	0.34	1.07	0.07	1.01	0.06	8.49e-11	1.83e-07	6.06
GZ587745243088355453	0.0	4.11e-11	2.8e-11	2.17e-07	1.57e-07	2.08	0.48	1.02	0.07	1.1	0.11	8.05e-11	4.26e-07	6.05
UN588009368010096823	0.245	2.65e-11	1.72e-11	1.33e-07	9.48e-08	2.11	0.45	0.95	0.04	1.06	0.06	5.26e-11	2.64e-07	6.04
GZ587725491063488610	0.0	4.86e-11	2.19e-11	6.47e-08	2.91e-08	5.0	0.0	1.19	0.04	0.89	0.08	8.59e-11	1.14e-07	6.03
RCS1514_08851	0.165	7.2e-11	3.21e-11	1.3e-07	6.75e-08	3.23	0.87	0.95	0.04	0.92	0.11	1.27e-10	2.29e-07	6.02
RCS2329_12931	0.149	4.89e-11	2.7e-11	2.02e-07	1.25e-07	2.22	0.4	0.98	0.04	1.07	0.09	9.14e-11	3.78e-07	6.01
GZ587741392649715968	0.281	8.16e-12	1.08e-11	2.07e-07	2.16e-07	1.45	0.62	1.05	0.07	0.98	0.08	2.26e-11	5.74e-07	6.01
GZ587736915688095868	0.0	1.32e-11	9.87e-12	3.76e-07	3.11e-07	1.41	0.34	0.81	0.03	1.35	0.11	2.99e-11	8.52e-07	6.0
RCS2143_12807	0.062	2.37e-12	1.97e-11	3.54e-07	3.86e-06	0.63	2.0	1.06	0.0	0.82	0.01	7.55e-12	1.13e-06	6.0
RCS0047_01778	0.0	1.02e-10	3.23e-10	1.59e-07	3.03e-07	3.78	6.33	1.02	0.02	0.98	0.04	1.77e-10	2.77e-07	5.99
RCS1514_07804	0.0	2.16e-12	4.26e-12	3.01e-07	6.89e-07	0.68	0.25	0.8	0.03	1.38	0.09	7.76e-12	1.08e-06	5.96
RCS0310_03585	0.142	3.62e-11	2.13e-11	1.4e-07	9.34e-08	2.26	0.49	1.01	0.03	0.91	0.05	6.95e-11	2.69e-07	5.95
GZ587736478129258564	0.35	2.96e-11	2.09e-11	2.03e-07	1.51e-07	1.95	0.41	0.97	0.06	1.1	0.11	6.09e-11	4.19e-07	5.95
UN587725505559396589	0.272	5.19e-11	2.83e-10	6.9e-08	3.8e-07	5.0	0.43	1.18	0.01	0.87	0.01	9.17e-11	1.22e-07	5.94
RCS2338_13194	0.0	4.75e-12	5.99e-12	3.69e-07	4.22e-07	1.02	0.2	1.17	0.04	0.79	0.06	1.36e-11	1.05e-06	5.92
RCS0047_01354	0.0	6.2e-12	5.25e-12	3.69e-07	3.81e-07	1.13	0.47	1.02	0.07	0.97	0.11	1.61e-11	9.56e-07	5.91
GZ587727213344523046	0.356	7.01e-11	3.46e-11	1.66e-07	8.4e-08	2.72	0.52	0.83	0.02	1.46	0.08	1.26e-10	2.99e-07	5.89
GZ587736977416126579	0.0	5.37e-11	2.45e-11	9.6e-08	4.88e-08	3.27	0.85	0.42	0.03	1.5	0.05	9.55e-11	1.71e-07	5.87
RCS1514_08197	0.13	5.61e-11	3.1e-11	1.7e-07	9.27e-08	2.45	0.46	0.74	0.04	1.56	0.09	1.04e-10	3.15e-07	5.86
GZ587725041709875390	0.072	3.07e-11	1.92e-11	1.9e-07	1.43e-07	2.0	0.39	0.69	0.05	1.53	0.09	6.22e-11	3.84e-07	5.85
GZ587742567854637186	0.159	5.64e-11	2.93e-11	1.3e-07	6.88e-08	2.75	0.65	1.09	0.07	0.97	0.12	1.03e-10	2.38e-07	5.8
GZ587725470669668511	0.026	2.77e-11	1.93e-11	1.45e-07	1.03e-07	2.09	0.44	0.94	0.04	1.1	0.06	5.68e-11	2.96e-07	5.8
RCS0357_05046	0.499	5.99e-11	3.79e-10	7.97e-08	5.06e-07	5.0	0.03	0.89	0.02	1.08	0.06	1.07e-10	1.43e-07	5.75
UN588011124117799010	0.416	2.38e-11	2.19e-11	1.13e-07	9.25e-08	2.14	0.73	1.23	0.1	0.91	0.1	4.9e-11	2.34e-07	5.74
GZ588017704001339533	0.457	2.86e-11	2.03e-11	2.3e-07	1.76e-07	1.89	0.38	1.06	0.05	1.19	0.07	6e-11	4.83e-07	5.72
GZ587741816772100483	0.303	6.54e-11	4.26e-11	8.7e-08	5.71e-08	5.0	0.04	0.91	0.05	1.2	0.09	1.17e-10	1.56e-07	5.68
GZ587728309102248081	0.271	3.79e-11	2.39e-11	1.94e-07	1.39e-07	2.1	0.43	0.99	0.05	1.27	0.09	7.5e-11	3.84e-07	5.66
RCS2338_14930	0.0	5.02e-11	2.4e-11	1.1e-07	6.04e-08	2.83	0.57	0.97	0.09	0.94	0.11	9.18e-11	2.01e-07	5.65
UN587733604264313237	0.343	2.75e-11	1.71e-11	1.57e-07	1.16e-07	2.04	0.43	0.95	0.08	1.17	0.09	5.37e-11	3.07e-07	5.64
RCS2143_11380	0.0	2.76e-11	2.19e-11	1.81e-07	1.44e-07	1.98	0.47	0.95	0.03	1.16	0.06	5.95e-11	3.9e-07	5.64
GZ588017726012260490	0.482	3.93e-11	2.71e-11	1.51e-07	9.65e-08	2.27	0.52	0.89	0.05	1.14	0.09	7.75e-11	2.98e-07	5.64
GZ587742061061013651	0.452	3.65e-11	2.79e-11	1.57e-07	1.09e-07	2.19	0.57	1.01	0.05	1.14	0.07	7.34e-11	3.17e-07	5.63
GZ587729233054990706	0.296	3.47e-11	2.08e-11	1.52e-07	1.09e-07	2.18	0.5	1.17	0.05	0.86	0.07	6.6e-11	2.89e-07	5.62
GZ587739810501361898	0.0	4.1e-11	2.73e-11	1.93e-07	1.26e-07	2.14	0.4	0.94	0.03	1.2	0.11	8.24e-11	3.89e-07	5.62
GZ587735348015530080	0.466	6.58e-11	3.76e-11	8.76e-08	5.02e-08	5.0	0.01	1.01	0.05	1.02	0.1	1.18e-10	1.57e-07	5.6
GZ588017604688936975	0.342	2.6e-11	1.85e-11	1.36e-07	9.75e-08	2.09	0.46	1.17	0.09	0.94	0.09	5.32e-11	2.78e-07	5.59
UN587733423871361153	0.445	2.62e-11	1.68e-11	1.49e-07	1.18e-07	2.04	0.47	1.3	0.11	0.9	0.1	5.18e-11	2.95e-07	5.58
GZ588010359076880538	0.254	5.91e-11	2.92e-11	1.42e-07	7.88e-08	2.7	0.56	1.13	0.06	1.12	0.1	1.08e-10	2.6e-07	5.56
RCS0310_04484	0.0	5.66e-11	2.77e-11	9.67e-08	4.95e-08	3.41	1.23	0.98	0.03	0.92	0.05	1.02e-10	1.75e-07	5.52
GZ587736977420517513	0.348	3.24e-11	2.28e-11	1.59e-07	1.08e-07	2.12	0.47	0.86	0.03	1.15	0.06	6.46e-11	3.17e-07	5.52
FAIRALL58	0.478	7.3e-11	3.8e-10	9.71e-08	5.1e-07	5.0	0.39	0.82	0.0	1.47	0.01	1.31e-10	1.74e-07	5.51
GZ587738411397808328	0.0	6.9e-11	3.21e-11	1.08e-07	5.57e-08	3.75	0.91	1.13	0.07	0.92	0.12	1.24e-10	1.95e-07	5.5
GZ587739720833630298	0.0	4.56e-11	2.32e-11	9.91e-08	5.34e-08	2.84	0.66	0.45	0.03	1.56	0.03	8.41e-11	1.83e-07	5.49
GZ587742775089692853	0.367	1.62e-11	1.79e-11	2.03e-07	2.14e-07	1.71	0.62	1.27	0.08	1.03	0.08	3.89e-11	4.89e-07	5.41
GZ587742903401054333	0.251	2.56e-11	1.87e-11	1.58e-07	1.25e-07	2.01	0.45	0.86	0.05	1.25	0.08	5.45e-11	3.36e-07	5.4
GT1237664667352039631	0.447	2.9e-11	2.03e-11	1.7e-07	1.24e-07	2.03	0.43	1.03	0.05	0.97	0.09	5.99e-11	3.51e-07	5.39
UN587728906100080852	0.374	4.83e-11	3.67e-11	1.28e-07	7.58e-08	2.57	0.36	1.08	0.03	0.85	0.07	9.25e-11	2.46e-07	5.39
GZ587745540517789851	0.0	1.9e-11	1.57e-11	2.04e-07	1.92e-07	1.77	0.46	1.23	0.07	0.81	0.12	4.36e-11	4.7e-07	5.39
UN587735240101789954	0.0	5.18e-11	3.47e-11	6.89e-08	4.68e-08	5.0	0.15	1.06	0.05	0.98	0.07	9.44e-11	1.26e-07	5.38
GZ587736585507176666	0.441	2.94e-11	1.82e-11	1.59e-07	1.25e-07	2.07	0.46	0.55	0.05	1.42	0.07	5.8e-11	3.14e-07	5.36
RCS2143_12304	0.0	3.33e-11	2.38e-11	1.71e-07	1.25e-07	2.1	0.48	1.06	0.03	0.85	0.07	6.83e-11	3.5e-07	5.36
UN587732135915159666	0.211	1.61e-11	1.43e-11	1.53e-07	1.35e-07	1.82	0.48	0.99	0.12	1.02	0.11	3.68e-11	3.47e-07	5.36
GZ587742014904860691	0.177	6.11e-11	2.88e-11	9.51e-08	5e-08	3.79	1.03	0.55	0.03	1.65	0.06	1.11e-10	1.72e-07	5.31
GZ587727876380754076	0.0	1.04e-11	1.02e-11	4.32e-07	3.92e-07	1.27	0.48	0.9	0.06	1.03	0.09	2.54e-11	1.06e-06	5.3
RCS0357_05671	0.0	1.51e-11	1.37e-10	2.14e-07	7.2e-07	1.66	2.14	0.84	0.01	1.26	0.04	3.83e-11	5.43e-07	5.29
RCS0357_05724	0.087	5.66e-11	3.17e-11	1.5e-07	1.01e-07	2.58	0.82	0.89	0.03	1.19	0.08	1.04e-10	2.76e-07	5.27
GZ587741602037104698	0.384	4.82e-11	2.74e-11	6.42e-08	3.66e-08	5.0	0.03	0.96	0.1	1.09	0.09	8.87e-11	1.18e-07	5.25
GZ588007003623194639	0.219	2.68e-11	2.03e-11	2.06e-07	1.6e-07	1.9	0.43	1.04	0.04	0.83	0.08	5.62e-11	4.33e-07	5.24
UN588017626151976963	0.2	4.51e-11	2.3e-11	9.35e-08	5.1e-08	2.93	0.74	1.38	0.11	0.77	0.11	8.34e-11	1.73e-07	5.22
GZ587742611346751704	0.0	1.96e-11	1.81e-11	2.47e-07	2.16e-07	1.71	0.47	0.64	0.03	1.97	0.09	4.44e-11	5.59e-07	5.2
GZ587739652645191703	0.372	5.56e-11	3.5e-11	1.45e-07	8.1e-08	2.6	0.71	0.93	0.04	1.16	0.11	1.04e-10	2.72e-07	5.19
RCS2329_14359	0.0	5.7e-12	9.44e-12	3.99e-07	4.08e-07	1.06	0.89	0.88	0.04	1.03	0.08	1.64e-11	1.15e-06	5.18
GZ587739114700537971	0.434	4.99e-11	3.19e-11	1.26e-07	6.88e-08	2.64	0.63	1.03	0.05	1.19	0.09	9.66e-11	2.43e-07	5.17
GZ588007005272408196	0.0	4.8e-11	2.7e-11	6.4e-08	3.76e-08	4.99	0.53	1.01	0.04	0.98	0.07	8.81e-11	1.17e-07	5.16
GZ587742060549898465	0.0	5.04e-11	2.65e-11	1.36e-07	7.68e-08	2.56	0.47	0.61	0.04	1.78	0.08	9.44e-11	2.55e-07	5.15
GZ587739719219019889	0.369	2.57e-11	2.03e-11	1.34e-07	1.05e-07	2.09	0.54	0.95	0.11	1.14	0.1	5.46e-11	2.84e-07	5.12
MCG-3-35-014	0.0	8.07e-11	3.85e-11	1.51e-07	8.06e-08	3.14	0.69	0.98	0.03	0.96	0.13	1.46e-10	2.75e-07	5.11
RCS0133_02560	0.0	2.9e-11	2.2e-11	1.59e-07	1.28e-07	2.06	0.51	1.04	0.07	0.97	0.1	6.15e-11	3.38e-07	5.11
GZ587739114697195849	0.3	4.48e-11	2.93e-11	1.51e-07	9.41e-08	2.36	0.51	1.02	0.05	1.03	0.1	8.86e-11	3e-07	5.1
RCS2143_10573	0.082	3.57e-11	2.96e-11	1.64e-07	1.1e-07	2.16	0.23	1.01	0.02	1.02	0.07	7.5e-11	3.44e-07	5.1
RCS1303_07451	0.0	9.79e-12	1.05e-11	2.3e-07	2.34e-07	1.48	0.5	0.79	0.04	1.26	0.1	2.61e-11	6.12e-07	5.09
GZ587742061622460606	0.486	5.95e-11	3.81e-10	7.91e-08	5.08e-07	5.0	0.02	0.45	0.01	1.98	0.02	1.09e-10	1.45e-07	5.08
UN587725469601628172	0.44	1.92e-11	1.52e-11	1.05e-07	8.66e-08	2.06	0.53	1.08	0.04	0.83	0.05	4.2e-11	2.3e-07	5.08
GZ588848899922591945	0.259	6.93e-11	3.6e-11	1.16e-07	6.83e-08	3.48	0.52	0.86	0.03	1.15	0.06	1.26e-10	2.11e-07	5.07
GZ587734623244582939	0.361	2.91e-11	2.01e-11	1.48e-07	1.1e-07	2.1	0.45	1.07	0.05	0.95	0.07	6.02e-11	3.08e-07	5.07
RCS2143_11237	0.0	8.31e-12	1.25e-11	2.42e-07	2.68e-07	1.41	0.72	1.05	0.04	0.9	0.1	2.34e-11	6.8e-07	5.03
GZ587727225691176991	0.45	4.59e-12	1.86e-11	2.91e-07	4.91e-07	1.11	2.26	1.01	0.07	0.9	0.1	1.53e-11	9.74e-07	5.01
RCS0310_04568	0.0	2.75e-12	5.05e-12	2.37e-07	3.38e-07	0.97	1.23	1.03	0.03	0.82	0.07	1e-11	8.62e-07	5.01
UN587739157653029036	0.0	2.78e-12	4.87e-12	2.21e-07	3.06e-07	1.01	1.11	1.12	0.09	0.83	0.09	9.96e-12	7.91e-07	5.0
RCS2338_14099	0.0	2.42e-12	4.9e-12	2.23e-07	3.66e-07	0.93	1.54	1.1	0.07	0.78	0.09	8.98e-12	8.29e-07	4.99
RCS2329_14690	0.0	2.53e-12	6.63e-12	2.73e-07	8.71e-07	0.85	0.34	1.06	0.06	0.74	0.1	9.29e-12	1.01e-06	4.99
GZ588017702935134320	0.422	2.37e-11	2.44e-11	2.5e-07	2e-07	1.78	0.51	0.97	0.06	1.1	0.1	5.23e-11	5.51e-07	4.99
RCS0357_05456	0.0	2.96e-12	1.07e-11	3.45e-07	4.15e-07	0.8	2.55	0.89	0.03	1.14	0.06	9.82e-12	1.14e-06	4.98
RCS0310_03835	0.0	1.73e-11	1.78e-11	1.7e-07	1.57e-07	1.8	0.5	1.0	0.03	0.93	0.06	4.27e-11	4.2e-07	4.98
GZ587725469592715391	0.433	2.97e-11	6.41e-11	1.19e-07	1.25e-07	2.24	1.88	1.03	0.04	0.86	0.08	6.41e-11	2.57e-07	4.98
UN588017720645451876	0.491	2.86e-11	1.92e-11	1.3e-07	9.01e-08	2.16	0.43	1.29	0.11	0.82	0.11	5.83e-11	2.66e-07	4.96
GZ587742615637459397	0.298	5.01e-11	3.08e-11	1.51e-07	8.7e-08	2.45	0.51	0.89	0.03	1.29	0.1	9.63e-11	2.91e-07	4.96
UN588017606290243600	0.165	4.46e-11	2.23e-11	7.27e-08	3.94e-08	3.58	0.53	1.23	0.11	0.89	0.11	8.24e-11	1.34e-07	4.96
RCS1514_08329	0.021	2.3e-11	1.91e-11	2.23e-07	1.87e-07	1.81	0.41	0.91	0.03	1.07	0.1	5.24e-11	5.09e-07	4.96
GZ587730774410068222	0.0	2.74e-11	2.9e-11	2.43e-07	2.69e-07	1.84	0.7	1.03	0.03	0.95	0.09	6.18e-11	5.49e-07	4.94
GZ587730773884928048	0.0	2.26e-12	1.92e-11	3.32e-07	3.72e-06	0.65	2.08	1.07	0.0	0.76	0.01	7.25e-12	1.06e-06	4.92
GZ587724648181071995	0.0	6.08e-11	2.98e-11	9.61e-08	4.98e-08	3.71	0.82	0.88	0.05	1.34	0.09	1.12e-10	1.77e-07	4.92
RCS0047_01203	0.0	3.07e-12	5.44e-12	2.29e-07	3.01e-07	1.03	1.04	1.15	0.04	0.87	0.06	1.11e-11	8.25e-07	4.91
RCS2143_11809	0.0	7.24e-11	3.55e-11	1.06e-07	5.91e-08	4.12	1.3	1.04	0.03	0.89	0.09	1.33e-10	1.95e-07	4.9
GZ587742890509795459	0.282	3.71e-11	2.05e-11	1e-07	5.87e-08	2.56	0.5	1.1	0.06	1.03	0.08	7.09e-11	1.92e-07	4.9
GT1237663783136985126	0.0	5.36e-11	3.06e-11	7.13e-08	4.08e-08	5.0	0.01	1.13	0.07	0.89	0.09	1e-10	1.33e-07	4.89
GZ587741721209995356	0.0	5.22e-11	2.58e-11	6.95e-08	3.44e-08	5.0	0.02	1.19	0.1	0.86	0.1	9.7e-11	1.29e-07	4.88
UN587732483833725127	0.0	4.05e-11	2.02e-11	5.38e-08	2.7e-08	5.0	0.0	1.06	0.07	0.9	0.08	7.55e-11	1e-07	4.88
GZ588017704012742814	0.0	7.14e-12	5.84e-11	3.86e-07	1.44e-06	1.17	1.82	0.78	0.02	1.39	0.03	1.88e-11	1.02e-06	4.88
GZ588017605758615555	0.437	2.11e-11	1.51e-11	1.59e-07	1.31e-07	1.91	0.42	1.45	0.11	0.69	0.1	4.48e-11	3.39e-07	4.88
GZ587732484365680827	0.43	2.82e-11	1.91e-11	8.54e-08	5.36e-08	2.45	0.59	1.28	0.1	0.83	0.1	5.7e-11	1.72e-07	4.86
RCS0047_00982	0.055	5.72e-11	2.87e-11	8.22e-08	4.41e-08	4.28	1.18	1.08	0.07	0.86	0.1	1.07e-10	1.53e-07	4.85
GZ587742062688927841	0.0	2.57e-11	1.8e-11	1.77e-07	1.5e-07	1.95	0.45	0.98	0.04	1.07	0.05	5.42e-11	3.72e-07	4.84
RCS2338_13999	0.232	5.2e-11	3.23e-11	6.92e-08	4.31e-08	5.0	0.0	1.12	0.08	0.77	0.1	9.73e-11	1.29e-07	4.84
RCS2329_13217	0.405	1.5e-11	1.05e-10	1.49e-07	1.96e-07	1.8	3.13	1.02	0.05	0.86	0.1	4.27e-11	4.22e-07	4.83
GZ587741533325885498	0.0	9.5e-12	1.1e-11	3.41e-07	3.32e-07	1.33	0.56	1.33	0.12	0.86	0.13	2.45e-11	8.81e-07	4.83
RCS1514_08270	0.0	1.09e-11	1.1e-11	2.31e-07	2.27e-07	1.52	0.45	0.86	0.03	1.17	0.1	2.82e-11	5.99e-07	4.81
GZ587729782275310054	0.198	3.81e-11	2.24e-11	1.44e-07	9.25e-08	2.28	0.43	0.95	0.03	1.12	0.07	7.37e-11	2.78e-07	4.79
UN587725817501057351	0.0	5.44e-12	5.9e-12	2.87e-07	3.01e-07	1.18	0.58	1.07	0.08	1.08	0.09	1.46e-11	7.72e-07	4.78
GZ587736975816130890	0.373	4.25e-11	2.83e-11	2.2e-07	1.56e-07	2.09	0.45	0.97	0.03	1.15	0.09	8.36e-11	4.33e-07	4.77
GZ587736976886268279	0.365	2.11e-11	2.11e-11	2.04e-07	1.89e-07	1.81	0.55	1.0	0.03	0.89	0.07	4.86e-11	4.69e-07	4.77
GZ587746209984020730	0.321	5.36e-11	2.92e-11	1.32e-07	7.79e-08	2.66	0.6	1.11	0.05	1.17	0.07	1.02e-10	2.51e-07	4.76
RCS0047_00954	0.0	1.74e-11	1.54e-11	2.6e-07	2.71e-07	1.65	0.49	1.16	0.05	0.78	0.08	4.13e-11	6.16e-07	4.74
GZ587745970001739826	0.43	4.75e-11	2.73e-11	1.52e-07	9.15e-08	2.4	0.47	0.93	0.03	1.19	0.11	9.04e-11	2.9e-07	4.73
GZ587742611343802434	0.491	3.96e-11	2.5e-11	1.96e-07	1.39e-07	2.12	0.4	0.84	0.04	1.35	0.1	7.97e-11	3.94e-07	4.72
GZ587741828045340709	0.188	8.5e-12	1.71e-11	1.87e-07	2.02e-07	1.51	0.84	1.27	0.08	0.92	0.08	2.58e-11	5.68e-07	4.72
RCS0310_04461	0.0	2.78e-12	2.4e-11	4.35e-07	4.81e-06	0.6	2.01	1.03	0.01	0.82	0.01	8.42e-12	1.32e-06	4.71
GZ587741828047896672	0.419	4.63e-11	2.85e-11	6.17e-08	3.8e-08	5.0	0.01	1.42	0.12	0.84	0.11	8.76e-11	1.17e-07	4.69
GZ587742578070913258	0.0	6.05e-11	2.99e-11	9.69e-08	5.19e-08	3.66	1.03	0.89	0.04	1.3	0.09	1.12e-10	1.79e-07	4.68
RCS1111_06371	0.0	6.28e-11	3.2e-11	1.1e-07	6.01e-08	3.34	0.87	1.15	0.06	1.09	0.11	1.18e-10	2.05e-07	4.66
UN587736940911001735	0.0	4.61e-11	2.35e-11	7.1e-08	4.16e-08	3.84	1.18	0.48	0.04	1.44	0.05	8.67e-11	1.34e-07	4.64
GZ587742773493825579	0.445	3.51e-11	2.58e-11	1.41e-07	1.02e-07	2.24	0.59	0.87	0.05	1.23	0.09	7.11e-11	2.85e-07	4.63
GZ587727221948612808	0.494	6.86e-12	6.35e-12	3.42e-07	3.45e-07	1.2	0.46	0.96	0.04	1.04	0.09	1.82e-11	9.07e-07	4.63
RCS2143_10784	0.0	1.54e-11	1.55e-11	1.88e-07	1.88e-07	1.72	0.53	0.95	0.03	1.17	0.08	3.77e-11	4.61e-07	4.62
RCS0310_04886	0.18	6.02e-11	3.02e-11	1.02e-07	5.98e-08	3.45	1.01	1.06	0.03	0.77	0.07	1.12e-10	1.89e-07	4.61
RCS2143_12109	0.397	6.49e-11	3.59e-11	9.52e-08	5.73e-08	4.12	0.66	1.01	0.02	0.94	0.06	1.22e-10	1.8e-07	4.58
GZ588017979449737417	0.084	5.05e-11	2.27e-10	8.9e-08	2.45e-07	3.3	5.33	0.93	0.02	1.03	0.03	9.48e-11	1.67e-07	4.58
GZ587736478676287646	0.218	6.13e-11	3.24e-11	1.47e-07	8.42e-08	2.7	0.49	0.88	0.03	1.14	0.12	1.16e-10	2.79e-07	4.58
GZ587742062166278433	0.361	2.76e-11	2.17e-11	1.71e-07	1.33e-07	2.0	0.47	0.91	0.04	1.3	0.1	5.91e-11	3.67e-07	4.58
GZ587744638026579986	0.416	5.51e-11	2.92e-11	1.09e-07	6.09e-08	3.02	0.71	0.99	0.05	1.03	0.09	1.05e-10	2.07e-07	4.57
GZ587742014368907462	0.0	5.83e-11	2.95e-11	9.5e-08	5.34e-08	3.58	0.89	0.46	0.03	1.86	0.06	1.09e-10	1.78e-07	4.57
GZ587742550137307284	0.476	1.41e-11	2.72e-11	1.32e-07	1.35e-07	1.82	0.97	0.88	0.05	1.18	0.08	3.69e-11	3.46e-07	4.56
RCS2329_14667	0.0	5.83e-11	2.97e-11	7.75e-08	3.96e-08	5.0	0.0	0.93	0.05	0.96	0.1	1.1e-10	1.46e-07	4.54
UN587736943055077501	0.332	1.34e-11	1.45e-11	1.31e-07	1.27e-07	1.81	0.56	0.99	0.12	0.97	0.11	3.34e-11	3.26e-07	4.54
GZ588017728689864841	0.0	5.26e-11	7.12e-11	1.13e-07	9.74e-08	2.86	0.97	0.96	0.04	1.0	0.07	1.01e-10	2.18e-07	4.52
MN5	0.294	3.73e-11	8.76e-11	2e-07	3.02e-07	2.07	1.89	0.87	0.03	1.26	0.07	7.62e-11	4.08e-07	4.51
UN587728931342581891	0.0	2.29e-12	5.25e-12	1.97e-07	3.15e-07	0.97	1.59	0.98	0.05	1.03	0.07	8.51e-12	7.31e-07	4.49
ESO431-G16	0.323	3.5e-11	2.77e-11	2.08e-07	1.57e-07	2.02	0.46	0.97	0.01	1.44	0.06	7.51e-11	4.45e-07	4.47
RCS2329_13100	0.0	5.87e-11	3.96e-10	7.81e-08	5.28e-07	5.0	0.11	0.98	0.02	0.87	0.07	1.11e-10	1.48e-07	4.46
RCS2338_13793	0.0	4.49e-12	7.62e-12	1.93e-07	2.45e-07	1.26	0.82	1.07	0.08	0.86	0.1	1.56e-11	6.71e-07	4.45
RCS0133_02712	0.0	1.05e-11	1.15e-11	2.24e-07	2.42e-07	1.52	0.52	1.02	0.07	1.01	0.09	2.84e-11	6.03e-07	4.45
GZ587730816822411334	0.0	6.24e-11	3.19e-11	1.02e-07	5.68e-08	3.57	0.88	1.01	0.04	0.96	0.09	1.17e-10	1.92e-07	4.45
RCS1514_08668	0.0	5.86e-11	3e-11	7.8e-08	4e-08	5.0	0.01	0.92	0.04	1.04	0.11	1.1e-10	1.47e-07	4.45
GZ587729409150550045	0.0	4.12e-11	2.13e-11	5.48e-08	2.84e-08	5.0	0.01	1.16	0.09	0.91	0.1	7.82e-11	1.04e-07	4.43
RCS2143_11970	0.223	3.6e-11	2.38e-11	2.3e-07	1.86e-07	1.99	0.42	1.05	0.04	0.87	0.09	7.37e-11	4.7e-07	4.43
MCG-02-12-012	0.0	5.83e-12	1.07e-11	2.05e-07	2.62e-07	1.34	0.89	0.97	0.02	1.09	0.05	1.9e-11	6.67e-07	4.42
GZ587742578062393353	0.0	5.06e-11	2.7e-11	9.87e-08	5.49e-08	3.05	0.64	0.8	0.04	1.27	0.07	9.67e-11	1.89e-07	4.4
RCS0310_03823	0.131	4.76e-11	2.76e-11	1.07e-07	6.41e-08	2.79	0.73	1.01	0.03	0.88	0.06	9.26e-11	2.09e-07	4.37
RCS0310_03589	0.0	2.25e-11	1.93e-11	1.59e-07	1.42e-07	1.94	0.51	0.99	0.04	0.93	0.05	5.1e-11	3.6e-07	4.36
GZ587732153091949040	0.248	4.96e-11	3.12e-11	1.13e-07	6.47e-08	2.76	0.7	1.11	0.04	0.96	0.1	9.71e-11	2.22e-07	4.35
RCS2143_10703	0.157	2.59e-11	2.3e-11	1.58e-07	1.32e-07	2.01	0.52	1.03	0.03	0.98	0.08	5.88e-11	3.59e-07	4.35
RCS2338_14621	0.182	5.09e-11	2.7e-11	8.29e-08	4.6e-08	3.59	0.96	1.0	0.08	0.88	0.1	9.78e-11	1.59e-07	4.34
UN587729751131291924	0.426	2.77e-11	1.93e-11	1.19e-07	8.86e-08	2.19	0.52	0.73	0.09	1.33	0.09	5.64e-11	2.43e-07	4.33
GZ587742551748313160	0.0	5.27e-11	2.74e-11	7.01e-08	3.66e-08	5.0	0.0	0.94	0.04	1.05	0.07	1e-10	1.33e-07	4.33
RCS1514_08502	0.061	3.87e-11	2.46e-11	1.54e-07	1.09e-07	2.24	0.46	0.88	0.04	1.14	0.11	7.79e-11	3.11e-07	4.3
GZ587726032783212563	0.0	5.86e-11	3.06e-11	7.79e-08	4.08e-08	5.0	0.02	0.89	0.04	1.38	0.06	1.11e-10	1.48e-07	4.29
GZ587734621632725182	0.467	4.34e-11	2.37e-11	9.61e-08	5.85e-08	2.81	0.64	1.03	0.05	1.03	0.07	8.41e-11	1.86e-07	4.27
UN588017948814278720	0.214	3.25e-11	2.75e-11	9.41e-08	5.94e-08	2.49	0.84	1.44	0.11	0.71	0.11	6.59e-11	1.91e-07	4.26
RCS2338_13509	0.0	5.47e-11	2.88e-11	7.28e-08	3.84e-08	5.0	0.0	1.13	0.06	0.8	0.09	1.05e-10	1.39e-07	4.25
RCS1514_08799	0.0	3.24e-11	2.45e-11	1.96e-07	1.6e-07	2.01	0.5	1.05	0.03	0.69	0.1	6.75e-11	4.07e-07	4.25
