                       name  dist_sep          flux      flux_err         eflux     eflux_err  index  index_err  gal_pref  gal_pref_err  iso_norm  iso_norm_err       flux_ul      eflux_ul     TS
508    GZ587734623244582939     0.361  2.910000e-11  2.010000e-11  1.480000e-07  1.100000e-07   2.10       0.45      1.07          0.05      0.95          0.07  6.020000e-11  3.080000e-07   5.07
509           RCS2143_11237     0.000  8.310000e-12  1.250000e-11  2.420000e-07  2.680000e-07   1.41       0.72      1.05          0.04      0.90          0.10  2.340000e-11  6.800000e-07   5.03
510    GZ587727225691176991     0.450  4.590000e-12  1.860000e-11  2.910000e-07  4.910000e-07   1.11       2.26      1.01          0.07      0.90          0.10  1.530000e-11  9.740000e-07   5.01
511           RCS0310_04568     0.000  2.750000e-12  5.050000e-12  2.370000e-07  3.380000e-07   0.97       1.23      1.03          0.03      0.82          0.07  1.000000e-11  8.620000e-07   5.01
512    UN587739157653029036     0.000  2.780000e-12  4.870000e-12  2.210000e-07  3.060000e-07   1.01       1.11      1.12          0.09      0.83          0.09  9.960000e-12  7.910000e-07   5.00
513           RCS2338_14099     0.000  2.420000e-12  4.900000e-12  2.230000e-07  3.660000e-07   0.93       1.54      1.10          0.07      0.78          0.09  8.980000e-12  8.290000e-07   4.99
514           RCS2329_14690     0.000  2.530000e-12  6.630000e-12  2.730000e-07  8.710000e-07   0.85       0.34      1.06          0.06      0.74          0.10  9.290000e-12  1.010000e-06   4.99
515    GZ588017702935134320     0.422  2.370000e-11  2.440000e-11  2.500000e-07  2.000000e-07   1.78       0.51      0.97          0.06      1.10          0.10  5.230000e-11  5.510000e-07   4.99
516           RCS0357_05456     0.000  2.960000e-12  1.070000e-11  3.450000e-07  4.150000e-07   0.80       2.55      0.89          0.03      1.14          0.06  9.820000e-12  1.140000e-06   4.98
517           RCS0310_03835     0.000  1.730000e-11  1.780000e-11  1.700000e-07  1.570000e-07   1.80       0.50      1.00          0.03      0.93          0.06  4.270000e-11  4.200000e-07   4.98
518    GZ587725469592715391     0.433  2.970000e-11  6.410000e-11  1.190000e-07  1.250000e-07   2.24       1.88      1.03          0.04      0.86          0.08  6.410000e-11  2.570000e-07   4.98
519    UN588017720645451876     0.491  2.860000e-11  1.920000e-11  1.300000e-07  9.010000e-08   2.16       0.43      1.29          0.11      0.82          0.11  5.830000e-11  2.660000e-07   4.96
520    GZ587742615637459397     0.298  5.010000e-11  3.080000e-11  1.510000e-07  8.700000e-08   2.45       0.51      0.89          0.03      1.29          0.10  9.630000e-11  2.910000e-07   4.96
521    UN588017606290243600     0.165  4.460000e-11  2.230000e-11  7.270000e-08  3.940000e-08   3.58       0.53      1.23          0.11      0.89          0.11  8.240000e-11  1.340000e-07   4.96
522           RCS1514_08329     0.021  2.300000e-11  1.910000e-11  2.230000e-07  1.870000e-07   1.81       0.41      0.91          0.03      1.07          0.10  5.240000e-11  5.090000e-07   4.96
523    GZ587730774410068222     0.000  2.740000e-11  2.900000e-11  2.430000e-07  2.690000e-07   1.84       0.70      1.03          0.03      0.95          0.09  6.180000e-11  5.490000e-07   4.94
524    GZ587730773884928048     0.000  2.260000e-12  1.920000e-11  3.320000e-07  3.720000e-06   0.65       2.08      1.07          0.00      0.76          0.01  7.250000e-12  1.060000e-06   4.92
525    GZ587724648181071995     0.000  6.080000e-11  2.980000e-11  9.610000e-08  4.980000e-08   3.71       0.82      0.88          0.05      1.34          0.09  1.120000e-10  1.770000e-07   4.92
526           RCS0047_01203     0.000  3.070000e-12  5.440000e-12  2.290000e-07  3.010000e-07   1.03       1.04      1.15          0.04      0.87          0.06  1.110000e-11  8.250000e-07   4.91
527           RCS2143_11809     0.000  7.240000e-11  3.550000e-11  1.060000e-07  5.910000e-08   4.12       1.30      1.04          0.03      0.89          0.09  1.330000e-10  1.950000e-07   4.90
528    GZ587742890509795459     0.282  3.710000e-11  2.050000e-11  1.000000e-07  5.870000e-08   2.56       0.50      1.10          0.06      1.03          0.08  7.090000e-11  1.920000e-07   4.90
529   GT1237663783136985126     0.000  5.360000e-11  3.060000e-11  7.130000e-08  4.080000e-08   5.00       0.01      1.13          0.07      0.89          0.09  1.000000e-10  1.330000e-07   4.89
530    GZ587741721209995356     0.000  5.220000e-11  2.580000e-11  6.950000e-08  3.440000e-08   5.00       0.02      1.19          0.10      0.86          0.10  9.700000e-11  1.290000e-07   4.88
531    UN587732483833725127     0.000  4.050000e-11  2.020000e-11  5.380000e-08  2.700000e-08   5.00       0.00      1.06          0.07      0.90          0.08  7.550000e-11  1.000000e-07   4.88
532    GZ588017704012742814     0.000  7.140000e-12  5.840000e-11  3.860000e-07  1.440000e-06   1.17       1.82      0.78          0.02      1.39          0.03  1.880000e-11  1.020000e-06   4.88
533    GZ588017605758615555     0.437  2.110000e-11  1.510000e-11  1.590000e-07  1.310000e-07   1.91       0.42      1.45          0.11      0.69          0.10  4.480000e-11  3.390000e-07   4.88
534    GZ587732484365680827     0.430  2.820000e-11  1.910000e-11  8.540000e-08  5.360000e-08   2.45       0.59      1.28          0.10      0.83          0.10  5.700000e-11  1.720000e-07   4.86
535           RCS0047_00982     0.055  5.720000e-11  2.870000e-11  8.220000e-08  4.410000e-08   4.28       1.18      1.08          0.07      0.86          0.10  1.070000e-10  1.530000e-07   4.85
536    GZ587742062688927841     0.000  2.570000e-11  1.800000e-11  1.770000e-07  1.500000e-07   1.95       0.45      0.98          0.04      1.07          0.05  5.420000e-11  3.720000e-07   4.84
537           RCS2338_13999     0.232  5.200000e-11  3.230000e-11  6.920000e-08  4.310000e-08   5.00       0.00      1.12          0.08      0.77          0.10  9.730000e-11  1.290000e-07   4.84
538           RCS2329_13217     0.405  1.500000e-11  1.050000e-10  1.490000e-07  1.960000e-07   1.80       3.13      1.02          0.05      0.86          0.10  4.270000e-11  4.220000e-07   4.83
539    GZ587741533325885498     0.000  9.500000e-12  1.100000e-11  3.410000e-07  3.320000e-07   1.33       0.56      1.33          0.12      0.86          0.13  2.450000e-11  8.810000e-07   4.83
540           RCS1514_08270     0.000  1.090000e-11  1.100000e-11  2.310000e-07  2.270000e-07   1.52       0.45      0.86          0.03      1.17          0.10  2.820000e-11  5.990000e-07   4.81
541    GZ587729782275310054     0.198  3.810000e-11  2.240000e-11  1.440000e-07  9.250000e-08   2.28       0.43      0.95          0.03      1.12          0.07  7.370000e-11  2.780000e-07   4.79
542    UN587725817501057351     0.000  5.440000e-12  5.900000e-12  2.870000e-07  3.010000e-07   1.18       0.58      1.07          0.08      1.08          0.09  1.460000e-11  7.720000e-07   4.78
543    GZ587736975816130890     0.373  4.250000e-11  2.830000e-11  2.200000e-07  1.560000e-07   2.09       0.45      0.97          0.03      1.15          0.09  8.360000e-11  4.330000e-07   4.77
544    GZ587736976886268279     0.365  2.110000e-11  2.110000e-11  2.040000e-07  1.890000e-07   1.81       0.55      1.00          0.03      0.89          0.07  4.860000e-11  4.690000e-07   4.77
545    GZ587746209984020730     0.321  5.360000e-11  2.920000e-11  1.320000e-07  7.790000e-08   2.66       0.60      1.11          0.05      1.17          0.07  1.020000e-10  2.510000e-07   4.76
546           RCS0047_00954     0.000  1.740000e-11  1.540000e-11  2.600000e-07  2.710000e-07   1.65       0.49      1.16          0.05      0.78          0.08  4.130000e-11  6.160000e-07   4.74
547    GZ587745970001739826     0.430  4.750000e-11  2.730000e-11  1.520000e-07  9.150000e-08   2.40       0.47      0.93          0.03      1.19          0.11  9.040000e-11  2.900000e-07   4.73
548    GZ587742611343802434     0.491  3.960000e-11  2.500000e-11  1.960000e-07  1.390000e-07   2.12       0.40      0.84          0.04      1.35          0.10  7.970000e-11  3.940000e-07   4.72
549    GZ587741828045340709     0.188  8.500000e-12  1.710000e-11  1.870000e-07  2.020000e-07   1.51       0.84      1.27          0.08      0.92          0.08  2.580000e-11  5.680000e-07   4.72
550           RCS0310_04461     0.000  2.780000e-12  2.400000e-11  4.350000e-07  4.810000e-06   0.60       2.01      1.03          0.01      0.82          0.01  8.420000e-12  1.320000e-06   4.71
551    GZ587741828047896672     0.419  4.630000e-11  2.850000e-11  6.170000e-08  3.800000e-08   5.00       0.01      1.42          0.12      0.84          0.11  8.760000e-11  1.170000e-07   4.69
552    GZ587742578070913258     0.000  6.050000e-11  2.990000e-11  9.690000e-08  5.190000e-08   3.66       1.03      0.89          0.04      1.30          0.09  1.120000e-10  1.790000e-07   4.68
553           RCS1111_06371     0.000  6.280000e-11  3.200000e-11  1.100000e-07  6.010000e-08   3.34       0.87      1.15          0.06      1.09          0.11  1.180000e-10  2.050000e-07   4.66
554    UN587736940911001735     0.000  4.610000e-11  2.350000e-11  7.100000e-08  4.160000e-08   3.84       1.18      0.48          0.04      1.44          0.05  8.670000e-11  1.340000e-07   4.64
555    GZ587742773493825579     0.445  3.510000e-11  2.580000e-11  1.410000e-07  1.020000e-07   2.24       0.59      0.87          0.05      1.23          0.09  7.110000e-11  2.850000e-07   4.63
556    GZ587727221948612808     0.494  6.860000e-12  6.350000e-12  3.420000e-07  3.450000e-07   1.20       0.46      0.96          0.04      1.04          0.09  1.820000e-11  9.070000e-07   4.63
557           RCS2143_10784     0.000  1.540000e-11  1.550000e-11  1.880000e-07  1.880000e-07   1.72       0.53      0.95          0.03      1.17          0.08  3.770000e-11  4.610000e-07   4.62
558           RCS0310_04886     0.180  6.020000e-11  3.020000e-11  1.020000e-07  5.980000e-08   3.45       1.01      1.06          0.03      0.77          0.07  1.120000e-10  1.890000e-07   4.61
559           RCS2143_12109     0.397  6.490000e-11  3.590000e-11  9.520000e-08  5.730000e-08   4.12       0.66      1.01          0.02      0.94          0.06  1.220000e-10  1.800000e-07   4.58
560    GZ588017979449737417     0.084  5.050000e-11  2.270000e-10  8.900000e-08  2.450000e-07   3.30       5.33      0.93          0.02      1.03          0.03  9.480000e-11  1.670000e-07   4.58
561    GZ587736478676287646     0.218  6.130000e-11  3.240000e-11  1.470000e-07  8.420000e-08   2.70       0.49      0.88          0.03      1.14          0.12  1.160000e-10  2.790000e-07   4.58
562    GZ587742062166278433     0.361  2.760000e-11  2.170000e-11  1.710000e-07  1.330000e-07   2.00       0.47      0.91          0.04      1.30          0.10  5.910000e-11  3.670000e-07   4.58
563    GZ587744638026579986     0.416  5.510000e-11  2.920000e-11  1.090000e-07  6.090000e-08   3.02       0.71      0.99          0.05      1.03          0.09  1.050000e-10  2.070000e-07   4.57
564    GZ587742014368907462     0.000  5.830000e-11  2.950000e-11  9.500000e-08  5.340000e-08   3.58       0.89      0.46          0.03      1.86          0.06  1.090000e-10  1.780000e-07   4.57
565    GZ587742550137307284     0.476  1.410000e-11  2.720000e-11  1.320000e-07  1.350000e-07   1.82       0.97      0.88          0.05      1.18          0.08  3.690000e-11  3.460000e-07   4.56
566           RCS2329_14667     0.000  5.830000e-11  2.970000e-11  7.750000e-08  3.960000e-08   5.00       0.00      0.93          0.05      0.96          0.10  1.100000e-10  1.460000e-07   4.54
567    UN587736943055077501     0.332  1.340000e-11  1.450000e-11  1.310000e-07  1.270000e-07   1.81       0.56      0.99          0.12      0.97          0.11  3.340000e-11  3.260000e-07   4.54
568    GZ588017728689864841     0.000  5.260000e-11  7.120000e-11  1.130000e-07  9.740000e-08   2.86       0.97      0.96          0.04      1.00          0.07  1.010000e-10  2.180000e-07   4.52
569                     MN5     0.294  3.730000e-11  8.760000e-11  2.000000e-07  3.020000e-07   2.07       1.89      0.87          0.03      1.26          0.07  7.620000e-11  4.080000e-07   4.51
570    UN587728931342581891     0.000  2.290000e-12  5.250000e-12  1.970000e-07  3.150000e-07   0.97       1.59      0.98          0.05      1.03          0.07  8.510000e-12  7.310000e-07   4.49
571              ESO431-G16     0.323  3.500000e-11  2.770000e-11  2.080000e-07  1.570000e-07   2.02       0.46      0.97          0.01      1.44          0.06  7.510000e-11  4.450000e-07   4.47
572           RCS2329_13100     0.000  5.870000e-11  3.960000e-10  7.810000e-08  5.280000e-07   5.00       0.11      0.98          0.02      0.87          0.07  1.110000e-10  1.480000e-07   4.46
573           RCS2338_13793     0.000  4.490000e-12  7.620000e-12  1.930000e-07  2.450000e-07   1.26       0.82      1.07          0.08      0.86          0.10  1.560000e-11  6.710000e-07   4.45
574           RCS0133_02712     0.000  1.050000e-11  1.150000e-11  2.240000e-07  2.420000e-07   1.52       0.52      1.02          0.07      1.01          0.09  2.840000e-11  6.030000e-07   4.45
575    GZ587730816822411334     0.000  6.240000e-11  3.190000e-11  1.020000e-07  5.680000e-08   3.57       0.88      1.01          0.04      0.96          0.09  1.170000e-10  1.920000e-07   4.45
576           RCS1514_08668     0.000  5.860000e-11  3.000000e-11  7.800000e-08  4.000000e-08   5.00       0.01      0.92          0.04      1.04          0.11  1.100000e-10  1.470000e-07   4.45
577    GZ587729409150550045     0.000  4.120000e-11  2.130000e-11  5.480000e-08  2.840000e-08   5.00       0.01      1.16          0.09      0.91          0.10  7.820000e-11  1.040000e-07   4.43
578           RCS2143_11970     0.223  3.600000e-11  2.380000e-11  2.300000e-07  1.860000e-07   1.99       0.42      1.05          0.04      0.87          0.09  7.370000e-11  4.700000e-07   4.43
579           MCG-02-12-012     0.000  5.830000e-12  1.070000e-11  2.050000e-07  2.620000e-07   1.34       0.89      0.97          0.02      1.09          0.05  1.900000e-11  6.670000e-07   4.42
580    GZ587742578062393353     0.000  5.060000e-11  2.700000e-11  9.870000e-08  5.490000e-08   3.05       0.64      0.80          0.04      1.27          0.07  9.670000e-11  1.890000e-07   4.40
581           RCS0310_03823     0.131  4.760000e-11  2.760000e-11  1.070000e-07  6.410000e-08   2.79       0.73      1.01          0.03      0.88          0.06  9.260000e-11  2.090000e-07   4.37
582           RCS0310_03589     0.000  2.250000e-11  1.930000e-11  1.590000e-07  1.420000e-07   1.94       0.51      0.99          0.04      0.93          0.05  5.100000e-11  3.600000e-07   4.36
583    GZ587732153091949040     0.248  4.960000e-11  3.120000e-11  1.130000e-07  6.470000e-08   2.76       0.70      1.11          0.04      0.96          0.10  9.710000e-11  2.220000e-07   4.35
584           RCS2143_10703     0.157  2.590000e-11  2.300000e-11  1.580000e-07  1.320000e-07   2.01       0.52      1.03          0.03      0.98          0.08  5.880000e-11  3.590000e-07   4.35
585           RCS2338_14621     0.182  5.090000e-11  2.700000e-11  8.290000e-08  4.600000e-08   3.59       0.96      1.00          0.08      0.88          0.10  9.780000e-11  1.590000e-07   4.34
586    UN587729751131291924     0.426  2.770000e-11  1.930000e-11  1.190000e-07  8.860000e-08   2.19       0.52      0.73          0.09      1.33          0.09  5.640000e-11  2.430000e-07   4.33
587    GZ587742551748313160     0.000  5.270000e-11  2.740000e-11  7.010000e-08  3.660000e-08   5.00       0.00      0.94          0.04      1.05          0.07  1.000000e-10  1.330000e-07   4.33
588           RCS1514_08502     0.061  3.870000e-11  2.460000e-11  1.540000e-07  1.090000e-07   2.24       0.46      0.88          0.04      1.14          0.11  7.790000e-11  3.110000e-07   4.30
589    GZ587726032783212563     0.000  5.860000e-11  3.060000e-11  7.790000e-08  4.080000e-08   5.00       0.02      0.89          0.04      1.38          0.06  1.110000e-10  1.480000e-07   4.29
590    GZ587734621632725182     0.467  4.340000e-11  2.370000e-11  9.610000e-08  5.850000e-08   2.81       0.64      1.03          0.05      1.03          0.07  8.410000e-11  1.860000e-07   4.27
591    UN588017948814278720     0.214  3.250000e-11  2.750000e-11  9.410000e-08  5.940000e-08   2.49       0.84      1.44          0.11      0.71          0.11  6.590000e-11  1.910000e-07   4.26
592           RCS2338_13509     0.000  5.470000e-11  2.880000e-11  7.280000e-08  3.840000e-08   5.00       0.00      1.13          0.06      0.80          0.09  1.050000e-10  1.390000e-07   4.25
593           RCS1514_08799     0.000  3.240000e-11  2.450000e-11  1.960000e-07  1.600000e-07   2.01       0.50      1.05          0.03      0.69          0.10  6.750000e-11  4.070000e-07   4.25
594    GZ587732052706852991     0.000  1.080000e-11  1.040000e-11  1.460000e-07  1.510000e-07   1.68       0.48      1.01          0.06      1.05          0.08  2.790000e-11  3.760000e-07   4.25
595    UN587739608081825915     0.000  7.960000e-12  2.000000e-11  1.310000e-07  1.660000e-07   1.61       1.16      1.26          0.10      0.92          0.11  2.440000e-11  4.020000e-07   4.24
596    UN587731521742242020     0.442  4.400000e-11  2.130000e-10  9.120000e-08  2.160000e-07   2.92       4.62      1.02          0.03      0.98          0.05  8.490000e-11  1.760000e-07   4.24
597    GZ588018091081990347     0.000  8.850000e-12  1.020000e-11  1.310000e-07  1.450000e-07   1.65       0.60      0.90          0.03      0.96          0.07  2.380000e-11  3.520000e-07   4.24
598    UN587728677932236907     0.339  3.910000e-11  2.060000e-11  6.870000e-08  4.140000e-08   3.31       1.03      1.16          0.10      0.97          0.10  7.480000e-11  1.310000e-07   4.23
599    GZ587741709956874367     0.000  4.570000e-11  2.410000e-11  6.080000e-08  3.220000e-08   5.00       0.00      1.34          0.11      0.87          0.11  8.770000e-11  1.170000e-07   4.22
600    GZ587725503946621290     0.332  1.660000e-11  1.660000e-11  1.280000e-07  1.010000e-07   1.91       0.21      1.21          0.03      0.81          0.05  3.900000e-11  2.990000e-07   4.15
601    GZ587736803470672059     0.000  5.500000e-11  1.890000e-10  7.330000e-08  2.720000e-07   4.98       3.35      0.97          0.06      1.09          0.10  1.060000e-10  1.410000e-07   4.12
602    UN587733080279482448     0.000  4.480000e-12  6.930000e-12  1.680000e-07  2.020000e-07   1.31       0.25      1.37          0.05      0.75          0.05  1.380000e-11  5.170000e-07   4.12
603           RCS0047_00025     0.000  1.220000e-11  1.300000e-11  2.320000e-07  2.860000e-07   1.56       0.62      0.95          0.07      1.13          0.10  3.100000e-11  5.860000e-07   4.10
604    UN587733604799873167     0.438  3.890000e-11  2.070000e-11  5.170000e-08  2.760000e-08   5.00       0.01      1.00          0.08      1.09          0.09  7.500000e-11  9.980000e-08   4.10
605           RCS2329_13131     0.427  1.400000e-11  1.710000e-11  1.440000e-07  1.420000e-07   1.79       0.22      0.93          0.03      1.00          0.07  3.860000e-11  3.980000e-07   4.09
606           RCS2338_15143     0.000  4.840000e-11  2.630000e-11  6.430000e-08  3.500000e-08   5.00       0.01      1.00          0.08      0.87          0.10  9.420000e-11  1.250000e-07   4.08
607    GZ587736584441954596     0.390  4.070000e-11  2.900000e-11  1.330000e-07  8.650000e-08   2.39       0.59      1.05          0.03      0.95          0.09  8.230000e-11  2.690000e-07   4.08
608    GZ588018055664435211     0.000  1.150000e-11  1.130000e-11  1.950000e-07  2.070000e-07   1.60       0.50      1.07          0.03      0.73          0.06  2.910000e-11  4.940000e-07   4.02
609           RCS0047_01113     0.000  1.840000e-11  1.450000e-11  2.300000e-07  2.100000e-07   1.71       0.40      1.06          0.04      0.94          0.07  4.210000e-11  5.270000e-07   4.02
610    GZ587731172233576989     0.452  9.840000e-12  1.320000e-11  1.760000e-07  1.910000e-07   1.58       0.20      0.94          0.02      1.09          0.07  2.960000e-11  5.290000e-07   4.01
611    GZ587732772663001171     0.262  6.000000e-11  3.360000e-11  1.050000e-07  6.540000e-08   3.34       0.46      0.87          0.03      1.45          0.05  1.160000e-10  2.010000e-07   4.01
612    GZ587739302603194487     0.000  4.310000e-11  2.360000e-11  5.740000e-08  3.150000e-08   5.00       0.00      1.30          0.12      0.90          0.12  8.410000e-11  1.120000e-07   4.00
613           RCS2143_10720     0.000  8.820000e-12  1.280000e-11  1.730000e-07  2.040000e-07   1.55       0.68      1.00          0.03      1.04          0.08  2.640000e-11  5.190000e-07   3.99
614    GZ587731868561768557     0.000  3.430000e-11  2.000000e-11  7.270000e-08  4.580000e-08   2.88       0.83      1.42          0.11      0.72          0.11  6.780000e-11  1.440000e-07   3.99
615    GZ588848900469293080     0.221  5.900000e-11  3.280000e-11  1.660000e-07  1.080000e-07   2.52       0.44      0.99          0.02      0.83          0.08  1.160000e-10  3.250000e-07   3.98
616           RCS2143_11762     0.000  1.300000e-11  1.630000e-11  1.990000e-07  1.980000e-07   1.63       0.21      1.05          0.03      0.91          0.08  3.560000e-11  5.470000e-07   3.98
617    GZ587738067808813306     0.000  4.920000e-11  2.630000e-11  6.540000e-08  3.500000e-08   5.00       0.02      1.10          0.03      0.84          0.08  9.420000e-11  1.250000e-07   3.96
618           RCS0047_00944     0.000  2.160000e-12  1.960000e-11  3.130000e-07  3.770000e-06   0.66       2.23      1.03          0.01      0.97          0.01  7.370000e-12  1.070000e-06   3.96
619    GZ587731187279659107     0.249  4.300000e-11  2.980000e-11  1.200000e-07  7.710000e-08   2.53       0.68      0.98          0.07      1.08          0.11  8.720000e-11  2.420000e-07   3.96
620    GZ587741722826047526     0.000  2.320000e-12  1.990000e-11  3.430000e-07  3.870000e-06   0.64       2.07      0.95          0.01      1.09          0.01  7.280000e-12  1.080000e-06   3.91
621           RCS1514_07641     0.000  3.820000e-11  2.640000e-11  1.380000e-07  1.020000e-07   2.31       0.57      0.88          0.03      1.27          0.08  7.910000e-11  2.860000e-07   3.91
622           RCS2143_12236     0.000  5.620000e-11  3.060000e-11  7.470000e-08  4.080000e-08   5.00       0.01      1.03          0.03      0.90          0.08  1.090000e-10  1.450000e-07   3.89
623    UN587732483829530775     0.446  3.290000e-11  1.920000e-11  7.330000e-08  4.720000e-08   2.80       0.72      1.21          0.09      0.86          0.09  6.560000e-11  1.460000e-07   3.89
624   GT1237661957762842806     0.188  3.650000e-11  2.040000e-11  6.810000e-08  4.610000e-08   3.15       1.24      1.13          0.07      0.90          0.08  7.160000e-11  1.340000e-07   3.88
625    UN587725994651550004     0.419  3.530000e-11  2.370000e-11  9.980000e-08  6.360000e-08   2.51       0.61      0.94          0.04      1.19          0.07  7.130000e-11  2.010000e-07   3.88
626           RCS1040_06202     0.000  1.210000e-11  1.070000e-11  1.650000e-07  1.730000e-07   1.68       0.45      0.90          0.08      0.98          0.08  2.990000e-11  4.100000e-07   3.87
627   GT1237665129610936526     0.000  3.730000e-12  4.590000e-12  1.740000e-07  2.200000e-07   1.23       0.63      1.23          0.11      0.92          0.11  1.210000e-11  5.640000e-07   3.85
628   GT1237660963472932915     0.470  2.460000e-11  2.080000e-11  1.530000e-07  1.280000e-07   2.00       0.50      1.07          0.05      0.96          0.08  5.500000e-11  3.420000e-07   3.84
629           RCS0310_04634     0.000  4.300000e-11  2.840000e-11  1.170000e-07  7.410000e-08   2.55       0.53      0.96          0.04      0.95          0.08  8.850000e-11  2.410000e-07   3.84
630           RCS2338_14175     0.000  4.650000e-11  2.610000e-11  6.190000e-08  3.480000e-08   5.00       0.00      1.02          0.06      0.88          0.09  9.200000e-11  1.220000e-07   3.81
631           RCS1613_09292     0.000  2.310000e-11  1.780000e-11  9.180000e-08  7.200000e-08   2.24       0.60      1.04          0.07      1.13          0.08  4.930000e-11  1.960000e-07   3.80
632    GZ587735240106901615     0.000  4.050000e-11  2.260000e-11  5.390000e-08  3.010000e-08   5.00       0.07      0.97          0.12      0.99          0.11  8.000000e-11  1.060000e-07   3.79
633           RCS2329_13945     0.000  2.030000e-11  1.740000e-11  2.180000e-07  2.000000e-07   1.77       0.44      0.91          0.04      0.97          0.09  4.720000e-11  5.070000e-07   3.75
634    GZ587738574071267367     0.000  1.090000e-11  1.240000e-11  1.880000e-07  1.930000e-07   1.59       0.57      0.97          0.11      1.06          0.10  2.720000e-11  4.710000e-07   3.73
635    GZ588023668639596653     0.000  2.330000e-11  2.050000e-11  1.450000e-07  1.360000e-07   2.00       0.58      0.95          0.05      1.12          0.07  5.260000e-11  3.270000e-07   3.72
636    GZ587736586042474642     0.342  3.600000e-11  2.240000e-11  4.780000e-08  2.990000e-08   5.00       0.00      0.51          0.05      1.41          0.06  7.160000e-11  9.520000e-08   3.71
637    GZ587727223013376192     0.446  2.810000e-11  2.230000e-11  1.470000e-07  1.200000e-07   2.09       0.48      0.96          0.04      1.09          0.11  6.300000e-11  3.300000e-07   3.71
638           RCS2143_12618     0.000  3.800000e-12  6.130000e-12  3.340000e-07  3.770000e-07   0.96       0.94      1.04          0.03      0.87          0.09  1.220000e-11  1.080000e-06   3.70
639           RCS0133_02636     0.000  4.760000e-11  2.720000e-11  6.840000e-08  4.210000e-08   4.28       1.17      1.10          0.07      0.93          0.09  9.480000e-11  1.360000e-07   3.69
640    UN587739405699121275     0.000  2.370000e-12  1.800000e-11  3.510000e-07  3.710000e-06   0.64       2.28      1.27          0.01      0.87          0.01  8.210000e-12  1.220000e-06   3.69
641    UN587739294552424522     0.000  3.150000e-12  6.700000e-12  3.000000e-07  3.690000e-07   0.92       1.36      1.03          0.10      1.15          0.10  1.050000e-11  1.000000e-06   3.69
642    GZ588017712586162337     0.214  3.350000e-11  2.250000e-11  4.460000e-08  3.000000e-08   5.00       0.01      1.32          0.09      0.76          0.09  6.700000e-11  8.910000e-08   3.68
643    GZ587731887344910666     0.000  1.960000e-12  1.710000e-11  2.750000e-07  3.250000e-06   0.68       2.22      1.07          0.01      0.90          0.01  6.740000e-12  9.460000e-07   3.66
644           RCS0310_04764     0.322  3.580000e-11  3.210000e-11  1.410000e-07  9.900000e-08   2.25       0.28      0.96          0.03      0.96          0.06  7.790000e-11  3.070000e-07   3.65
645    GZ587736753011229034     0.000  7.330000e-12  8.670000e-12  2.450000e-07  2.890000e-07   1.36       0.65      1.03          0.03      1.10          0.09  1.960000e-11  6.560000e-07   3.64
646           RCS1613_09342     0.000  1.990000e-11  1.770000e-11  9.620000e-08  8.950000e-08   2.13       0.68      1.03          0.07      1.13          0.08  4.460000e-11  2.160000e-07   3.64
647           RCS2143_11154     0.093  2.280000e-11  2.350000e-11  1.610000e-07  1.460000e-07   1.94       0.59      1.06          0.04      0.92          0.10  5.380000e-11  3.810000e-07   3.64
648           RCS1303_07408     0.000  7.410000e-12  1.020000e-11  2.020000e-07  2.530000e-07   1.43       0.69      0.91          0.06      1.18          0.12  2.210000e-11  6.040000e-07   3.63
649    GZ587732578294038947     0.477  4.820000e-11  2.770000e-11  9.070000e-08  6.000000e-08   3.13       0.88      1.14          0.06      0.81          0.10  9.640000e-11  1.810000e-07   3.61
650    GZ587732770523054085     0.000  5.660000e-11  3.320000e-11  8.510000e-08  5.470000e-08   3.98       0.85      0.89          0.06      1.21          0.12  1.110000e-10  1.680000e-07   3.60
651           RCS2338_14784     0.000  4.820000e-12  8.380000e-12  1.530000e-07  2.100000e-07   1.37       0.84      0.99          0.09      0.91          0.11  1.680000e-11  5.330000e-07   3.60
652    GZ587744638565155000     0.000  2.530000e-11  1.940000e-11  1.790000e-07  1.590000e-07   1.94       0.46      0.91          0.05      1.22          0.09  5.550000e-11  3.920000e-07   3.60
653    GZ588017605755600962     0.480  3.730000e-11  2.130000e-11  4.960000e-08  2.840000e-08   5.00       0.02      1.43          0.11      0.73          0.11  7.450000e-11  9.910000e-08   3.60
654           RCS2143_11072     0.000  1.640000e-11  2.320000e-11  1.380000e-07  1.440000e-07   1.87       0.72      0.98          0.03      1.06          0.09  4.480000e-11  3.790000e-07   3.59
655           RCS1514_08201     0.000  5.780000e-11  3.330000e-11  1.240000e-07  7.570000e-08   2.87       0.58      0.78          0.04      1.44          0.10  1.140000e-10  2.440000e-07   3.59
656    GZ588017724397518988     0.000  1.580000e-11  1.790000e-11  1.680000e-07  1.750000e-07   1.77       0.60      0.83          0.05      1.43          0.06  3.980000e-11  4.230000e-07   3.58
657           RCS1645_10203     0.000  4.140000e-11  2.380000e-11  5.510000e-08  3.180000e-08   5.00       0.01      1.11          0.05      0.94          0.07  8.220000e-11  1.090000e-07   3.53
658           RCS2329_12937     0.000  2.870000e-12  7.680000e-12  3.190000e-07  4.710000e-07   0.83       2.07      0.91          0.04      1.14          0.10  9.870000e-12  1.100000e-06   3.52
659           RCS2143_11456     0.000  1.680000e-11  2.320000e-11  1.340000e-07  1.340000e-07   1.89       0.67      1.00          0.03      1.04          0.08  4.650000e-11  3.700000e-07   3.50
